Geraetetyp;000
Geraetename;LT6-digi-GPRS
Beschreibung;LT6-digi-GPRS
Seriennummer;A27212
Geraetenummer;60.900.20/215
Standortname;Wetterstation-Parkplatz
Standortnummer;56-6182
Messstellennummer;TH Parkplatz
Hochwert;0,00;[m]
Rechtswert;0,00;[m]
Messpunkthoehe MPH;0,000;[mNN]
Einhaengetiefe ETH;0,000;[m]
Ausgelesene Daten von:;2781227;bis:;2786986
Ausgelesen am:;30.06.2025 10:37:21;von:;user
Kanal zum Ueberwachen:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Datum / Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Z hlvorgang = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe = f5;Feldst rke 1 = f6;Seriennummer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782075;27.06.25 00:32:05;-37,028;-0,111;17,652;2,540;22,727;800,180;3,546;67,415;22,585;66,565;22,965;0,626;251,854;29,173;30,348;6377;637,7;;0,0;60;12,41;23,49;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782076;27.06.25 00:33:05;-36,966;-0,111;17,640;2,499;22,722;800,180;3,540;67,450;22,575;66,785;22,940;0,656;302,569;29,161;30,311;6377;637,7;;0,0;60;12,39;23,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782077;27.06.25 00:34:05;-37,118;-0,111;17,713;2,552;22,710;800,180;3,543;67,545;22,575;66,770;22,960;0,327;248,597;29,134;30,290;6377;637,7;;0,0;60;12,40;23,57;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782078;27.06.25 00:35:05;-37,621;-0,111;17,563;2,614;22,710;800,180;3,540;67,575;22,565;66,830;22,935;0,620;250,701;29,128;30,293;6377;637,7;;0,0;60;12,40;23,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782079;27.06.25 00:36:05;-37,623;-0,111;17,590;2,563;22,708;800,180;3,543;67,615;22,555;66,805;22,940;0,265;281,228;29,124;30,299;6377;637,7;;0,0;60;12,40;23,25;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782080;27.06.25 00:37:05;-37,069;-0,111;17,569;2,524;22,692;800,180;3,549;67,635;22,580;66,910;22,935;0,416;223,369;29,109;30,287;6377;637,7;;0,0;60;12,41;23,45;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782081;27.06.25 00:38:05;-36,249;-0,111;17,487;2,439;22,677;800,180;3,552;67,635;22,540;66,915;22,895;0,564;247,691;29,106;30,278;6377;637,7;;0,0;60;12,40;23,45;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782082;27.06.25 00:39:05;-35,267;-0,111;17,581;2,408;22,673;800,180;3,546;67,725;22,565;67,165;22,900;0,483;154,845;29,103;30,278;6377;637,7;;0,0;60;12,42;23,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782083;27.06.25 00:40:05;-34,279;-0,111;17,636;2,451;22,662;800,180;3,549;67,725;22,545;67,035;22,920;0,573;179,438;29,106;30,278;6377;637,7;;0,0;60;12,40;23,37;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2782084;27.06.25 00:41:05;-33,288;-0,111;17,726;2,399;22,675;800,180;3,552;67,745;22,520;67,005;22,910;0,366;207,473;29,103;30,278;6377;637,7;;0,0;60;12,41;23,29;;14;A27212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
