ONLINEMESSUNG
Datum/Uhrzeit;15.07.2025 08:22:53
Nr.;Datum/Uhrzeit;IR1 [W/m2] = m1 /E1/"800016";SR1 [W/m2] = m2 /E2/"800016";IR2 [W/m2] = m3 /E3/"800016";SR2 [W/m2] = m4 /E4/"800016";Temp [degC] = m5 /E5/"800016";Luftdruck [mbar] = m6 /E6/"190039";Bodenfeucht [vol%] = m7 /E7/"190039";RH-oben [%RH] = m8 /E8/"190039";LT-oben [degC] = n5 /E13/"190040";RH-unten [%RH] = n6 /E14/"190040";LT-unten [degC] = n7 /E15/"190040";Windgeschw [m/s] = n8 /E16/"190040";Windricht [grad] = p1 /E17/"190040";Bodentemp-1 [degC] = r3 /E27/"158060";Bodentemp-2 [degC] = r4 /E28/"158060";Zaehler1 [Impulse] = e1;Regen-abs [mm] = c1=e1*0,1;Zaehler1-Differenz [Impulse] = e5;Regen-rel [mm] = c2=e5*0,1;Dauer Zählvorgang [s] = f8;Vbatt [V] = f1;Tintern [degC] = f3;Alarmstufe [] = f5;Feldstärke 1 [] = f6
0;15.07.25 08:20:08;-43,362;138,500;8,143;17,159;20,070;800,204;3,912;70,100;19,540;70,500;19,660;2,653;277,313;22,770;24,711;6377;637,7;0;0,0;13;12,51;25,32;0;14
1;15.07.25 08:20:31;-43,772;138,485;8,078;17,011;20,050;800,204;3,900;69,920;19,560;70,640;19,640;0,520;316,778;22,782;24,711;6377;637,7;0;0,0;11;12,52;25,48;0;14
2;15.07.25 08:21:13;-44,718;141,159;8,066;17,327;20,070;800,204;3,900;70,080;19,600;70,480;19,620;0,773;330,728;22,770;24,711;6377;637,7;0;0,0;13;12,50;25,32;0;14
3;15.07.25 08:21:36;-45,220;140,967;8,087;17,279;20,090;800,204;3,900;70,160;19,640;70,500;19,660;2,484;285,120;22,782;24,711;6377;637,7;0;0,0;11;12,51;25,32;0;14
4;15.07.25 08:22:18;-45,282;147,022;8,229;17,974;20,100;800,204;3,876;70,280;19,720;70,820;19,720;1,284;79,875;22,782;24,699;6377;637,7;0;0,0;13;12,51;25,48;0;14
5;15.07.25 08:22:41;-45,102;149,696;8,259;18,325;20,100;800,204;3,876;70,200;19,660;70,700;19,700;1,575;272,115;22,819;24,687;6377;637,7;0;0,0;11;12,52;25,95;0;14
6;15.07.25 08:23:23;-44,320;146,318;8,419;17,379;20,080;800,204;3,900;70,340;19,640;70,700;19,720;1,528;285,300;22,770;24,711;6377;637,7;0;0,0;13;12,51;25,00;0;14
7;15.07.25 08:23:46;-43,706;148,348;8,459;17,627;20,080;800,204;3,900;70,260;19,700;70,980;19,720;0,497;180,900;22,794;24,699;6377;637,7;0;0,0;11;12,51;25,48;0;14
8;15.07.25 08:24:28;-42,437;156,068;8,575;18,588;20,090;800,204;3,900;70,240;19,640;70,560;19,720;1,458;267,098;22,856;24,699;6377;637,7;0;0,0;13;12,51;25,95;0;14
9;15.07.25 08:24:51;-42,184;158,751;8,673;18,869;20,120;800,204;3,876;70,060;19,600;70,600;19,740;0,778;271,733;22,782;24,711;6377;637,7;0;0,0;11;12,52;25,48;0;14
10;15.07.25 08:25:33;-42,294;165,740;8,774;19,699;20,100;800,204;3,888;69,920;19,660;70,280;19,740;0,928;238,410;22,807;24,711;6377;637,7;0;0,0;13;12,56;25,48;0;14
11;15.07.25 08:25:56;-42,451;170,793;8,916;20,431;20,130;800,204;3,876;69,880;19,660;70,360;19,800;1,519;25,403;22,819;24,699;6377;637,7;0;0,0;11;12,56;25,16;0;14
12;15.07.25 08:26:37;-43,087;184,941;9,075;22,461;20,140;800,192;3,900;69,820;19,660;70,200;19,780;1,430;244,418;22,819;24,699;6377;637,7;0;0,0;12;12,60;25,48;0;14
13;15.07.25 08:27:19;-44,014;200,037;9,334;24,170;20,130;800,204;3,912;69,660;19,660;69,560;19,760;1,336;294,683;22,819;24,674;6377;637,7;0;0,0;14;12,54;25,48;0;14
14;15.07.25 08:27:42;-44,994;179,745;9,311;21,439;20,170;800,180;3,900;69,780;19,640;69,740;19,780;0,628;305,483;22,856;24,699;6377;637,7;0;0,0;12;12,57;25,79;0;14
15;15.07.25 08:28:24;-46,968;175,542;9,054;21,252;20,210;800,180;3,900;69,760;19,660;69,640;19,800;3,272;279,135;22,856;24,687;6377;637,7;0;0,0;14;12,60;25,63;0;14
16;15.07.25 08:28:47;-48,172;175,065;8,992;21,290;20,190;800,204;3,888;69,620;19,700;69,720;19,780;1,303;276,435;22,843;24,699;6377;637,7;0;0,0;12;12,56;25,32;0;14
17;15.07.25 08:29:29;-50,129;303,396;10,313;41,765;20,210;800,204;3,912;69,240;19,640;69,660;19,800;3,473;278,190;22,843;24,674;6377;637,7;0;0,0;14;12,61;25,32;0;14
18;15.07.25 08:29:52;-51,995;254,516;10,007;33,795;20,210;800,204;3,900;69,120;19,620;69,460;19,820;1,364;299,048;22,856;24,699;6377;637,7;0;0,0;12;12,60;25,48;0;14
19;15.07.25 08:30:34;-54,814;267,348;10,735;34,342;20,270;800,204;3,900;69,280;19,660;69,380;19,820;0,342;255,083;22,856;24,711;6377;637,7;0;0,0;14;12,62;25,79;0;14
20;15.07.25 08:30:57;-56,132;302,189;11,089;40,987;20,280;800,192;3,900;69,480;19,740;69,560;19,860;1,303;310,118;22,856;24,687;6377;637,7;0;0,0;12;12,66;25,32;0;14
21;15.07.25 08:31:39;-58,295;215,558;10,581;28,397;20,330;800,204;3,912;69,640;19,760;69,740;19,880;0,520;335,768;22,856;24,638;6377;637,7;0;0,0;14;12,65;25,79;0;14
22;15.07.25 08:32:02;-58,972;189,291;9,878;23,531;20,380;800,192;3,888;69,560;19,720;69,520;19,900;0,989;278,640;22,856;24,687;6377;637,7;0;0,0;12;12,62;25,79;0;14
23;15.07.25 08:32:43;-59,323;165,832;8,927;20,180;20,340;800,204;3,900;69,340;19,860;69,560;19,960;1,073;152,055;22,843;24,662;6377;637,7;0;0,0;13;12,65;25,79;0;14
24;15.07.25 08:33:06;-59,043;160,707;8,944;19,447;20,370;800,204;3,888;69,160;19,820;69,400;19,960;2,189;264,308;22,856;24,650;6377;637,7;0;0,0;11;12,63;25,95;0;14
25;15.07.25 08:33:48;-58,942;153,442;8,717;18,302;20,370;800,204;3,888;69,040;19,880;69,560;20,020;0,778;56,138;22,856;24,687;6377;637,7;0;0,0;13;12,65;25,95;0;14
26;15.07.25 08:34:11;-58,831;151,719;8,477;18,013;20,360;800,204;3,876;68,880;19,920;69,280;19,980;0,478;334,935;22,856;24,650;6377;637,7;0;0,0;11;12,64;25,79;0;14
27;15.07.25 08:34:52;-58,382;152,505;8,590;18,088;20,370;800,204;3,888;69,060;20,000;69,320;20,040;0,239;112,545;22,856;24,687;6377;637,7;0;0,0;12;12,66;26,59;0;14
28;15.07.25 08:35:34;-57,838;160,199;8,821;19,090;20,420;800,180;3,900;69,280;19,880;69,440;20,040;0,389;284,625;22,856;24,687;6377;637,7;0;0,0;14;12,67;25,79;0;14
29;15.07.25 08:35:57;-57,661;165,461;8,759;19,677;20,430;800,204;3,876;69,200;20,040;69,280;20,060;0,553;4,635;22,868;24,687;6377;637,7;0;0,0;12;12,66;26,11;0;14
30;15.07.25 08:36:38;-57,129;178,103;9,034;21,504;20,420;800,204;3,900;69,020;20,000;69,440;20,040;0,380;328,343;22,856;24,650;6377;637,7;0;0,0;13;12,67;26,27;0;14
31;15.07.25 08:37:01;-56,951;186,166;8,915;22,712;20,450;800,192;3,888;68,880;20,040;69,060;20,040;1,219;297,270;22,856;24,662;6377;637,7;0;0,0;11;12,67;25,63;0;14
32;15.07.25 08:37:43;-56,800;212,960;9,277;26,760;20,440;800,204;3,900;68,480;20,020;68,960;20,020;2,198;324,113;22,856;24,674;6377;637,7;0;0,0;13;12,71;25,48;0;14
33;15.07.25 08:38:06;-56,934;214,564;9,415;26,647;20,450;800,180;3,876;68,220;20,020;68,960;20,020;0,539;274,028;22,856;24,662;6377;637,7;0;0,0;11;12,69;25,95;0;14
34;15.07.25 08:38:47;-56,828;287,994;10,085;38,933;20,470;800,204;3,912;68,340;20,040;69,000;20,020;1,566;229,928;22,856;24,650;6377;637,7;0;0,0;12;12,75;26,11;0;14
35;15.07.25 08:39:29;-56,308;289,509;11,086;38,253;20,530;800,204;3,924;68,360;20,080;69,520;20,040;2,123;299,475;22,856;24,650;6377;637,7;0;0,0;14;12,75;26,11;0;14
36;15.07.25 08:39:52;-56,642;234,947;10,503;29,079;20,560;800,204;3,900;68,480;20,080;69,520;20,060;1,950;334,935;22,892;24,687;6377;637,7;0;0,0;12;12,75;25,95;0;14
37;15.07.25 08:40:34;-56,119;232,428;10,630;28,749;20,580;800,180;3,900;68,620;20,140;69,560;20,100;1,083;279,450;22,868;24,626;6377;637,7;0;0,0;14;12,77;26,27;0;14
38;15.07.25 08:40:57;-55,929;266,540;10,764;34,792;20,600;800,204;3,888;68,640;20,100;69,140;20,120;0,708;270,675;22,892;24,650;6377;637,7;0;0,0;12;12,79;26,43;0;14
39;15.07.25 08:41:39;-56,062;257,065;11,073;32,445;20,650;800,204;3,900;68,780;20,120;69,280;20,200;0,811;21,308;22,892;24,626;6377;637,7;0;0,0;14;12,83;26,27;0;14
40;15.07.25 08:42:02;-55,757;260,200;11,082;32,739;20,650;800,204;3,900;68,420;20,080;68,740;20,200;0,347;103,410;22,904;24,626;6377;637,7;0;0,0;12;12,84;26,59;0;14
41;15.07.25 08:42:44;-55,895;266,600;11,589;33,693;20,720;800,204;3,912;68,420;20,100;68,920;20,180;0,277;340,425;22,941;24,638;6377;637,7;0;0,0;14;12,84;26,27;0;14
42;15.07.25 08:43:07;-56,233;259,312;11,195;32,850;20,760;800,204;3,888;68,420;20,180;68,720;20,200;1,847;299,925;22,904;24,662;6377;637,7;0;0,0;12;12,84;26,43;0;14
43;15.07.25 08:43:49;-57,443;283,781;11,384;36,392;20,790;800,204;3,900;68,040;20,260;68,700;20,200;1,247;291,600;22,929;24,613;6377;637,7;0;0,0;14;12,86;26,59;0;14
44;15.07.25 08:44:12;-57,814;247,225;11,189;30,789;20,780;800,204;3,876;68,260;20,240;68,880;20,220;0,933;290,655;22,941;24,626;6377;637,7;0;0,0;12;12,85;26,59;0;14
45;15.07.25 08:44:53;-59,098;230,228;10,800;28,126;20,800;800,204;3,900;68,360;20,320;69,520;20,260;0,459;304,133;22,941;24,626;6377;637,7;0;0,0;13;12,87;26,75;0;14
46;15.07.25 08:45:16;-59,759;223,286;10,570;27,243;20,830;800,204;3,900;68,500;20,320;69,620;20,300;1,238;268,943;22,953;24,638;6377;637,7;0;0,0;11;12,86;26,75;0;14
47;15.07.25 08:45:58;-61,654;211,494;10,276;25,575;20,850;800,204;3,900;68,520;20,260;68,780;20,320;0,942;300,398;22,953;24,613;6377;637,7;0;0,0;13;12,85;26,59;0;14
48;15.07.25 08:46:21;-62,906;205,340;10,095;24,860;20,870;800,204;3,900;68,380;20,280;69,000;20,340;0,703;310,095;22,953;24,613;6377;637,7;0;0,0;11;12,85;26,75;0;14
49;15.07.25 08:47:03;-65,566;192,485;9,448;23,272;20,860;800,204;3,900;67,980;20,360;68,440;20,340;0,380;258,278;22,953;24,638;6377;637,7;0;0,0;13;12,85;27,06;0;14
50;15.07.25 08:47:26;-66,672;184,559;9,277;22,251;20,920;800,192;3,888;67,980;20,340;68,940;20,340;0,286;226,170;22,953;24,613;6377;637,7;0;0,0;11;12,84;27,06;0;14
51;15.07.25 08:48:07;-68,419;169,105;8,804;20,122;20,900;800,192;3,888;67,540;20,340;68,200;20,280;0,394;1,958;22,953;24,613;6377;637,7;0;0,0;12;12,86;26,90;0;14
52;15.07.25 08:48:49;-70,239;154,907;8,492;18,144;20,910;800,204;3,924;67,560;20,380;68,560;20,320;0,459;74,385;22,953;24,650;6377;637,7;0;0,0;14;12,84;27,06;0;14
53;15.07.25 08:49:12;-71,291;148,861;7,838;17,330;20,910;800,204;3,876;67,320;20,320;68,020;20,260;1,191;349,313;22,953;24,613;6377;637,7;0;0,0;12;12,82;26,59;0;14
54;15.07.25 08:49:54;-72,403;137,932;7,643;15,611;20,920;800,204;3,888;67,160;20,400;68,520;20,240;0,548;321,885;22,965;24,613;6377;637,7;0;0,0;14;12,79;27,06;0;14
55;15.07.25 08:50:17;-72,923;134,273;7,398;15,053;20,890;800,204;3,876;67,140;20,400;68,160;20,200;0,267;234,968;22,965;24,613;6377;637,7;0;0,0;12;12,77;26,90;0;14
56;15.07.25 08:50:58;-73,363;130,866;7,462;14,667;20,920;800,204;3,900;67,460;20,500;68,880;20,260;0,188;31,500;22,953;24,626;6377;637,7;0;0,0;13;12,81;27,06;0;14
57;15.07.25 08:51:21;-74,176;131,182;7,034;14,797;20,910;800,192;3,888;67,380;20,420;68,500;20,280;1,969;90,135;22,965;24,626;6377;637,7;0;0,0;11;12,80;26,75;0;14
58;15.07.25 08:52:03;-74,465;136,172;6,894;15,032;20,890;800,204;3,876;66,980;20,420;68,300;20,180;0,591;229,973;22,978;24,613;6377;637,7;0;0,0;13;12,80;27,22;0;14
59;15.07.25 08:52:26;-74,729;142,777;6,998;16,064;20,890;800,204;3,876;67,240;20,460;68,960;20,160;1,664;305,933;22,953;24,626;6377;637,7;0;0,0;11;12,78;26,90;0;14
60;15.07.25 08:53:08;-74,928;193,500;7,336;23,562;20,810;800,204;3,912;66,820;20,360;68,620;20,160;1,397;314,055;23,002;24,613;6377;637,7;0;0,0;13;12,75;26,75;0;14
61;15.07.25 08:53:31;-74,349;280,039;8,684;36,049;20,840;800,204;3,900;66,860;20,400;68,640;20,140;0,483;329,355;22,965;24,613;6377;637,7;0;0,0;11;12,79;26,90;0;14
62;15.07.25 08:54:13;-74,886;190,303;8,416;21,668;20,850;800,204;3,900;67,060;20,340;68,640;20,160;2,044;283,230;23,002;24,626;6377;637,7;0;0,0;13;12,78;26,90;0;14
63;15.07.25 08:54:36;-75,015;169,521;8,045;19,013;20,830;800,204;3,876;67,200;20,340;68,720;20,140;0,839;220,680;23,039;24,613;6377;637,7;0;0,0;11;12,78;26,90;0;14
64;15.07.25 08:55:18;-75,232;162,232;7,834;17,993;20,810;800,192;3,888;67,360;20,340;68,820;20,180;0,319;238,410;23,039;24,626;6377;637,7;0;0,0;13;12,81;26,75;0;14
65;15.07.25 08:55:41;-74,971;175,484;8,015;20,117;20,800;800,204;3,876;67,660;20,380;68,960;20,180;1,458;291,555;23,051;24,613;6377;637,7;0;0,0;11;12,80;27,06;0;14
66;15.07.25 08:56:23;-74,532;255,911;8,837;31,257;20,810;800,204;3,900;67,780;20,280;69,340;20,200;0,656;318,690;23,039;24,650;6377;637,7;0;0,0;13;12,82;26,75;0;14
67;15.07.25 08:56:46;-74,159;247,739;9,507;29,879;20,840;800,204;3,888;68,200;20,280;69,620;20,240;0,473;284,715;23,051;24,626;6377;637,7;0;0,0;11;12,82;26,75;0;14
68;15.07.25 08:57:28;-73,435;452,106;11,907;61,985;20,890;800,180;3,936;68,140;20,340;68,740;20,340;1,120;16,200;23,051;24,638;6377;637,7;0;0,0;13;12,92;26,90;0;14
69;15.07.25 08:57:51;-73,096;457,051;13,010;62,131;20,960;800,180;3,912;68,020;20,280;68,680;20,300;0,506;253,688;23,039;24,626;6377;637,7;0;0,0;11;12,92;26,90;0;14
70;15.07.25 08:58:33;-73,433;440,999;13,834;59,302;21,040;800,192;3,936;68,140;20,360;68,920;20,360;0,670;324,113;23,051;24,613;6377;637,7;0;0,0;13;12,95;26,90;0;14
71;15.07.25 08:58:56;-73,949;458,864;13,573;62,261;21,110;800,204;3,912;67,860;20,380;68,140;20,380;0,694;346,815;23,051;24,613;6377;637,7;0;0,0;11;12,96;27,54;0;14
72;15.07.25 08:59:37;-73,738;460,251;14,574;62,233;21,170;800,192;3,948;68,380;20,420;69,560;20,480;0,633;268,920;23,087;24,613;6377;637,7;0;0,0;12;12,99;27,22;0;14
73;15.07.25 09:00:18;-74,130;467,816;14,996;62,732;21,280;800,204;3,984;67,660;20,500;68,420;20,600;1,003;297,360;23,051;24,613;6377;637,7;0;0,0;13;13,01;27,38;0;14
74;15.07.25 09:00:41;-73,823;464,320;14,810;62,370;21,320;800,204;3,936;67,420;20,600;67,980;20,660;1,022;302,220;23,051;24,626;6377;637,7;0;0,0;11;13,01;27,22;0;14
75;15.07.25 09:01:23;-73,933;471,579;15,387;62,911;21,420;800,180;3,924;66,660;20,700;66,600;20,780;1,153;331,133;23,075;24,650;6377;637,7;0;0,0;13;13,02;27,54;0;14
76;15.07.25 09:01:46;-73,605;474,549;15,746;63,165;21,470;800,204;3,936;66,620;20,720;67,200;20,880;0,328;219,308;23,087;24,626;6377;637,7;0;0,0;11;13,03;27,38;0;14
77;15.07.25 09:02:28;-73,088;476,782;16,205;63,572;21,590;800,204;3,948;66,740;20,860;66,980;21,020;0,539;232,290;23,051;24,613;6377;637,7;0;0,0;13;13,04;27,70;0;14
78;15.07.25 09:02:51;-72,973;479,076;16,052;64,076;21,650;800,204;3,936;66,780;20,980;66,660;21,120;1,317;279,495;23,051;24,626;6377;637,7;0;0,0;11;13,04;27,86;0;14
79;15.07.25 09:03:33;-73,269;482,155;15,842;64,449;21,780;800,204;3,984;64,580;21,100;63,680;21,200;0,830;323,393;23,148;24,613;6377;637,7;0;0,0;13;13,04;28,02;0;14
80;15.07.25 09:03:56;-72,755;483,499;16,162;64,551;21,830;800,192;3,948;63,800;21,140;63,960;21,200;1,050;336,780;23,087;24,650;6377;637,7;0;0,0;11;13,05;28,17;0;14
81;15.07.25 09:04:37;-72,720;485,678;16,057;64,745;21,910;800,192;3,960;61,820;21,300;61,420;21,220;0,502;335,340;23,136;24,626;6377;637,7;0;0,0;12;13,08;28,33;0;14
82;15.07.25 09:05:18;-71,811;488,373;16,211;64,917;22,010;800,192;3,972;61,800;21,360;62,240;21,320;0,380;287,843;23,112;24,626;6377;637,7;0;0,0;13;13,10;28,33;0;14
83;15.07.25 09:05:41;-71,591;491,652;16,619;65,323;22,070;800,204;3,948;61,920;21,420;62,480;21,360;1,158;335,003;23,136;24,626;6377;637,7;0;0,0;11;13,08;28,33;0;14
84;15.07.25 09:06:22;-71,127;498,591;16,421;66,312;22,180;800,192;3,960;61,600;21,600;62,140;21,500;0,516;37,553;23,136;24,613;6377;637,7;0;0,0;12;13,13;28,33;0;14
85;15.07.25 09:07:04;-70,928;504,454;17,113;67,052;22,290;800,204;3,960;61,460;21,720;62,340;21,540;1,177;292,883;23,051;24,613;6377;637,7;0;0,0;14;13,12;28,81;0;14
86;15.07.25 09:07:27;-71,913;507,526;16,740;67,762;22,370;800,204;3,960;61,540;21,740;62,440;21,640;1,739;318,060;23,148;24,613;6377;637,7;0;0,0;12;13,12;29,44;0;14
87;15.07.25 09:08:08;-72,202;510,390;16,762;67,758;22,440;800,192;3,984;60,760;21,860;61,280;21,700;0,736;300,375;23,136;24,613;6377;637,7;0;0,0;13;13,17;28,97;0;14
88;15.07.25 09:08:31;-72,452;511,540;16,544;67,679;22,510;800,204;3,960;60,420;21,940;61,060;21,760;0,375;105,615;23,148;24,613;6377;637,7;0;0,0;11;13,19;28,97;0;14
89;15.07.25 09:09:13;-73,068;518,896;16,866;68,709;22,610;800,204;3,984;60,160;21,960;61,560;21,740;2,995;295,920;23,161;24,626;6377;637,7;0;0,0;13;13,17;29,29;0;14
90;15.07.25 09:09:36;-72,846;520,628;16,805;68,302;22,630;800,192;3,960;60,180;22,100;61,220;21,820;1,092;40,793;23,148;24,638;6377;637,7;0;0,0;11;13,22;29,29;0;14
91;15.07.25 09:10:18;-72,886;525,870;17,158;68,791;22,730;800,204;3,996;60,440;22,160;61,780;21,780;0,628;227,475;23,148;24,613;6377;637,7;0;0,0;13;13,24;29,29;0;14
92;15.07.25 09:10:41;-73,177;530,577;17,181;69,506;22,790;800,204;3,984;60,020;22,220;61,700;21,860;0,202;7,538;23,161;24,613;6377;637,7;0;0,0;11;13,23;29,44;0;14
93;15.07.25 09:11:23;-73,550;540,309;17,458;70,932;22,890;800,204;3,960;58,640;22,260;59,580;21,780;0,563;326,070;23,173;24,638;6377;637,7;0;0,0;13;13,23;29,76;0;14
94;15.07.25 09:11:46;-72,934;545,787;17,577;71,789;22,920;800,192;3,960;57,580;22,200;59,340;21,820;0,638;270,675;23,173;24,613;6377;637,7;0;0,0;11;13,25;29,92;0;14
95;15.07.25 09:12:28;-73,591;552,983;17,671;72,514;23,020;800,204;3,996;57,940;22,300;60,320;21,920;1,130;279,923;23,197;24,626;6377;637,7;0;0,0;13;13,27;29,92;0;14
96;15.07.25 09:12:51;-73,830;554,201;17,786;72,561;23,050;800,192;3,948;57,620;22,300;59,160;21,960;1,523;298,080;23,210;24,613;6377;637,7;0;0,0;11;13,25;30,08;0;14
97;15.07.25 09:13:33;-74,891;550,564;17,908;72,374;23,130;800,204;3,972;57,640;22,360;59,560;22,100;1,533;271,193;23,210;24,613;6377;637,7;0;0,0;13;13,26;30,24;0;14
98;15.07.25 09:13:56;-75,158;547,406;17,857;72,428;23,170;800,204;3,936;57,720;22,280;59,460;22,160;0,741;275,423;23,222;24,613;6377;637,7;0;0,0;11;13,29;30,24;0;14
99;15.07.25 09:14:38;-76,684;531,116;17,536;71,245;23,280;800,192;3,984;57,460;22,320;58,720;22,220;0,548;352,395;23,246;24,613;6377;637,7;0;0,0;13;13,27;30,71;0;14
100;15.07.25 09:15:01;-76,893;521,542;17,873;71,736;23,300;800,192;3,960;57,480;22,360;58,780;22,260;1,819;277,718;23,246;24,613;6377;637,7;0;0,0;11;13,28;30,08;0;14
101;15.07.25 09:15:43;-78,167;493,919;17,480;71,186;23,410;800,204;3,984;57,400;22,460;58,120;22,360;0,923;244,778;23,246;24,613;6377;637,7;0;0,0;13;13,27;30,87;0;14
102;15.07.25 09:16:06;-78,432;475,488;17,416;69,999;23,450;800,204;3,960;57,580;22,480;58,280;22,360;1,233;295,628;23,246;24,626;6377;637,7;0;0,0;11;13,27;31,03;0;14
103;15.07.25 09:16:48;-79,268;410,023;16,391;64,523;23,550;800,204;3,960;57,200;22,520;58,540;22,360;0,858;344,610;23,246;24,613;6377;637,7;0;0,0;13;13,24;30,71;0;14
104;15.07.25 09:17:11;-78,941;394,168;16,405;63,417;23,560;800,192;3,912;57,140;22,540;58,660;22,420;1,308;276,300;23,258;24,650;6377;637,7;0;0,0;11;13,22;31,19;0;14
105;15.07.25 09:17:53;-79,571;396,949;16,574;63,951;23,620;800,204;3,948;56,880;22,600;58,260;22,460;1,294;323,618;23,258;24,638;6377;637,7;0;0,0;13;13,22;31,35;0;14
106;15.07.25 09:18:16;-80,238;429,843;16,722;68,253;23,630;800,204;3,960;57,340;22,560;58,960;22,520;0,839;286,830;23,307;24,613;6377;637,7;0;0,0;11;13,25;30,87;0;14
107;15.07.25 09:18:58;-80,170;459,534;16,727;67,858;23,670;800,180;3,960;56,380;22,640;56,880;22,540;2,016;278,618;23,332;24,626;6377;637,7;0;0,0;13;13,27;31,67;0;14
108;15.07.25 09:19:21;-81,028;473,973;16,780;67,203;23,700;800,192;3,936;56,400;22,560;57,800;22,560;1,191;268,088;23,319;24,613;6377;637,7;0;0,0;11;13,28;31,03;0;14
109;15.07.25 09:20:03;-80,542;499,856;16,853;67,228;23,710;800,204;3,960;56,900;22,640;58,320;22,600;1,228;273,015;23,344;24,613;6377;637,7;0;0,0;13;13,25;31,19;0;14
110;15.07.25 09:20:26;-80,377;511,541;17,181;67,347;23,740;800,192;3,936;57,180;22,620;57,980;22,620;1,303;240,210;23,344;24,613;6377;637,7;0;0,0;11;13,28;31,19;0;14
111;15.07.25 09:21:08;-80,933;516,649;17,462;66,803;23,800;800,204;3,960;57,440;22,640;58,020;22,620;0,998;289,283;23,344;24,613;6377;637,7;0;0,0;13;13,27;31,51;0;14
112;15.07.25 09:21:31;-80,482;516,420;17,632;66,903;23,810;800,192;3,936;57,380;22,660;58,420;22,660;0,961;280,440;23,344;24,613;6377;637,7;0;0,0;11;13,28;31,67;0;14
113;15.07.25 09:22:13;-81,258;509,376;17,537;65,507;23,830;800,192;3,936;57,720;22,640;58,420;22,660;1,692;276,840;23,344;24,613;6377;637,7;0;0,0;13;13,28;31,83;0;14
114;15.07.25 09:22:36;-81,434;508,234;17,409;65,631;23,830;800,204;3,936;57,540;22,580;59,100;22,640;2,133;279,900;23,368;24,662;6377;637,7;0;0,0;11;13,28;31,67;0;14
115;15.07.25 09:23:18;-82,237;495,933;17,478;63,735;23,870;800,204;3,960;56,840;22,700;58,420;22,700;0,764;220,658;23,380;24,638;6377;637,7;0;0,0;13;13,27;31,51;0;14
116;15.07.25 09:23:41;-81,930;497,408;17,542;63,818;23,900;800,192;3,924;56,920;22,640;57,760;22,720;1,238;277,673;23,405;24,626;6377;637,7;0;0,0;11;13,30;31,67;0;14
117;15.07.25 09:24:23;-81,355;499,680;17,835;64,581;23,930;800,204;3,972;57,980;22,680;59,660;22,800;0,619;239,220;23,429;24,638;6377;637,7;0;0,0;13;13,28;31,51;0;14
118;15.07.25 09:24:46;-81,854;501,969;17,908;65,020;23,990;800,204;3,948;58,560;22,640;58,460;22,820;1,223;276,773;23,441;24,650;6377;637,7;0;0,0;11;13,29;31,98;0;14
119;15.07.25 09:25:28;-82,264;507,088;18,021;65,740;24,050;800,204;3,960;58,360;22,640;57,940;22,880;1,734;304,785;23,441;24,613;6377;637,7;0;0,0;13;13,31;31,98;0;14
120;15.07.25 09:25:51;-82,642;466,566;17,018;57,954;24,070;800,204;3,912;57,520;22,660;56,960;22,820;0,928;296,708;23,441;24,613;6377;637,7;0;0,0;11;13,27;32,30;0;14
121;15.07.25 09:26:32;-82,948;514,262;17,512;66,267;24,100;800,192;3,948;57,500;22,740;58,400;22,840;1,078;247,973;23,490;24,613;6377;637,7;0;0,0;12;13,27;32,46;0;14
122;15.07.25 09:27:13;-83,610;507,261;16,568;64,633;24,100;800,204;3,960;57,040;22,680;57,420;22,840;1,102;227,993;23,503;24,650;6377;637,7;0;0,0;13;13,35;32,62;0;14
123;15.07.25 09:27:36;-83,092;507,046;17,065;64,145;24,080;800,192;3,948;56,820;22,700;56,920;22,800;0,872;266,603;23,515;24,626;6377;637,7;0;0,0;11;13,32;32,46;0;14
124;15.07.25 09:28:17;-82,864;510,092;17,828;64,284;24,090;800,204;3,972;56,960;22,640;57,000;22,760;2,513;331,538;23,527;24,626;6377;637,7;0;0,0;12;13,33;32,78;0;14
125;15.07.25 09:28:59;-83,165;511,905;17,382;64,822;24,120;800,204;3,984;57,140;22,720;57,060;22,700;1,772;350,573;23,539;24,626;6377;637,7;0;0,0;14;13,34;32,30;0;14
126;15.07.25 09:29:22;-83,468;515,710;17,629;65,284;24,140;800,204;3,972;57,400;22,720;58,140;22,700;1,364;259,673;23,539;24,626;6377;637,7;0;0,0;12;13,35;32,46;0;14
127;15.07.25 09:30:03;-83,547;520,700;17,016;65,990;24,190;800,204;3,972;56,820;22,660;56,820;22,580;1,195;345,555;23,600;24,626;6377;637,7;0;0,0;13;13,38;32,14;0;14
128;15.07.25 09:30:26;-83,217;519,381;17,557;64,908;24,190;800,204;3,936;56,800;22,740;57,380;22,540;0,633;48,240;23,588;24,638;6377;637,7;0;0,0;11;13,39;32,62;0;14
129;15.07.25 09:31:08;-83,134;517,356;18,031;64,934;24,220;800,204;3,972;57,640;22,680;60,120;22,460;2,817;319,073;23,625;24,650;6377;637,7;0;0,0;13;13,38;32,14;0;14
130;15.07.25 09:31:31;-83,599;520,988;17,622;65,575;24,240;800,204;3,936;57,260;22,700;58,480;22,440;1,659;265,658;23,637;24,613;6377;637,7;0;0,0;11;13,37;32,46;0;14
